time,anom,esst_avg,mod,observed
1989.161644,0.482571569,-0.632313193,17.9530397,18.43561127
1989.246575,1.417144399,-0.632313193,20.40285255,21.81999695
1989.328767,-0.364470388,-0.632313193,23.78188523,23.41741484
1989.413699,-0.609555355,-0.632313193,27.18528664,26.57573128
1989.49589,-0.829884189,-0.632313193,29.70146865,28.87158446
1989.580822,-0.185555649,-0.110597544,30.65678031,30.47122466
1989.665753,0.721968003,-0.110597544,29.79565275,30.51762075
1989.747945,1.081197701,-0.110597544,27.34923052,28.43042822
1989.832877,-0.018821422,-0.110597544,23.97358846,23.95476704
1989.915068,-1.544650886,-0.110597544,20.57357768,19.02892679
1990,-0.337765583,-0.110597544,18.06078628,17.7230207
1990.084932,-0.836513678,-0.110597544,17.10892083,16.27240715
1990.161644,-0.567831963,-0.110597544,17.97332784,17.40549588
1990.246575,0.474448158,-0.110597544,20.42314069,20.89758885
1990.328767,-0.15026104,-0.110597544,23.80217337,23.65191233
1990.413699,0.458672203,-0.110597544,27.20557478,27.66424698
1990.49589,-0.422056371,-0.110597544,29.72175679,29.29970042
1990.580822,-0.345501321,-0.418770303,30.67706845,30.33156713
1990.665753,1.007831871,-0.418770303,29.81594089,30.82377276
1990.747945,0.747091959,-0.418770303,27.36951866,28.11661062
1990.832877,-0.516589464,-0.418770303,23.9938766,23.47728714
1990.915068,-1.212420518,-0.418770303,20.59386582,19.3814453
1991,-0.450167815,-0.418770303,18.08107443,17.63090661
1991.084932,1.11140632,-0.418770303,17.12920897,18.24061529
1991.161644,0.257475025,-0.418770303,17.99361598,18.25109101
1991.246575,-1.300656744,-0.418770303,20.44342883,19.14277209
1991.328767,-2.097539962,-0.418770303,23.82246151,21.72492155
1991.413699,-0.825590009,-0.418770303,27.22586292,26.40027291
1991.49589,-1.400582983,-0.418770303,29.74204493,28.34146195
1991.580822,-0.703975593,1.108262741,30.69735659,29.993381
1991.665753,0.320047079,1.108262741,29.83622903,30.15627611
1991.747945,2.459011367,1.108262741,27.3898068,29.84881817
1991.832877,-0.685877346,1.108262741,24.01416475,23.3282874
1991.915068,-0.18807718,1.108262741,20.61415396,20.42607678
1992,1.815573913,1.108262741,18.10136257,19.91693648
1992.084699,3.459110076,1.108262741,17.1494924,20.60860248
1992.163934,2.596301451,1.108262741,18.0139506,20.61025205
1992.248634,1.85313685,1.108262741,20.46375874,22.31689559
1992.330601,1.684579218,1.108262741,23.84278686,25.52736608
1992.415301,0.440536629,1.108262741,27.24618356,27.68672019
1992.497268,0.248786422,1.108262741,29.76236102,30.01114744
1992.581967,-0.242001901,0.24487346,30.71766797,30.47566607
1992.666667,0.888545509,0.24487346,29.8565357,30.74508121
1992.748634,1.852836414,0.24487346,27.41010892,29.26294533
1992.833333,-0.762741842,0.24487346,24.03446215,23.27172031
1992.915301,-1.59257651,0.24487346,20.63444681,19.0418703
1993,0.588554301,0.24487346,18.12165071,18.71020501
1993.084932,1.188678946,0.24487346,17.16978525,18.3584642
1993.161644,0.917431101,0.24487346,18.03419227,18.95162337
1993.246575,0.590420172,0.24487346,20.48400512,21.07442529
1993.328767,0.709457474,0.24487346,23.8630378,24.57249527
1993.413699,-0.303961823,0.24487346,27.2664392,26.96247738
1993.49589,-0.896160317,0.24487346,29.78262122,28.8864609
1993.580822,-0.410607317,-0.226574173,30.73793288,30.32732556
1993.665753,-0.086163145,-0.226574173,29.87680531,29.79064217
1993.747945,1.208032304,-0.226574173,27.43038309,28.63841539
1993.832877,0.25662533,-0.226574173,24.05474103,24.31136636
1993.915068,-1.664495884,-0.226574173,20.65473024,18.99023436
1994,-0.501847681,-0.226574173,18.14193885,17.64009117
1994.084932,-0.442328676,-0.226574173,17.1900734,16.74774472
1994.161644,0.384546309,-0.226574173,18.05448041,18.43902672
1994.246575,0.28549016,-0.226574173,20.50429326,20.78978342
1994.328767,-0.981448138,-0.226574173,23.88332594,22.9018778
1994.413699,-0.196646315,-0.226574173,27.28672734,27.09008103
1994.49589,-0.570047028,-0.226574173,29.80290936,29.23286233
1994.580822,-0.308542298,0.373054259,30.75822102,30.44967872
1994.665753,0.947011943,0.373054259,29.89709346,30.8441054
1994.747945,1.347936552,0.373054259,27.45067123,28.79860778
1994.832877,-0.284330432,0.373054259,24.07502917,23.79069874
1994.915068,-2.205729976,0.373054259,20.67501839,18.46928841
1995,1.120960557,0.373054259,18.16222699,19.28318755
1995.084932,2.287614042,0.373054259,17.21036154,19.49797558
1995.161644,2.196706987,0.373054259,18.07476855,20.27147554
1995.246575,-0.183090732,0.373054259,20.5245814,20.34149067
1995.328767,-0.32178012,0.373054259,23.90361408,23.58183396
1995.413699,0.037296353,0.373054259,27.30701549,27.34431184
1995.49589,-0.15740177,0.373054259,29.8231975,29.66579573
1995.580822,0.03444282,0.560271382,30.77850916,30.81295198
1995.665753,0.905875241,0.560271382,29.9173816,30.82325684
1995.747945,0.8088567,0.560271382,27.47095937,28.27981607
1995.832877,0.731369347,0.560271382,24.09531731,24.82668666
1995.915068,-1.004899367,0.560271382,20.69530653,19.69040716
1996,0.026812565,0.560271382,18.18251513,18.2093277
1996.084699,1.546500028,0.560271382,17.23064497,18.777145
1996.163934,0.633174274,0.560271382,18.09510317,18.72827744
1996.248634,0.636738802,0.560271382,20.54491131,21.18165011
1996.330601,1.011156131,0.560271382,23.92393943,24.93509556
1996.415301,1.012803881,0.560271382,27.32733613,28.34014001
1996.497268,0.380426164,0.560271382,29.84351359,30.22393975
1996.581967,0.016200552,0.108761382,30.79882054,30.81502109
1996.666667,-0.152975409,0.108761382,29.93768827,29.78471286
1996.748634,1.230485626,0.108761382,27.49126148,28.72174711
1996.833333,-2.042104499,0.108761382,24.11561472,22.07351022
1996.915301,-1.299690297,0.108761382,20.71559938,19.41590908
1997,-0.557240247,0.108761382,18.20280328,17.64556303
1997.084932,-0.116994862,0.108761382,17.25093782,17.13394296
1997.161644,0.135517274,0.108761382,18.11534484,18.25086211
1997.246575,0.592239964,0.108761382,20.56515769,21.15739765
1997.328767,1.963904726,0.108761382,23.94419036,25.90809509
1997.413699,0.662515589,0.108761382,27.34759177,28.01010736
1997.49589,0.873278166,0.108761382,29.86377378,30.73705195
1997.580822,0.949504766,1.185526806,30.81908544,31.76859021
1997.665753,1.384960777,1.185526806,29.95795788,31.34291866
1997.747945,1.424353626,1.185526806,27.51153565,28.93588928
1997.832877,1.716388953,1.185526806,24.1358936,25.85228255
1997.915068,2.522623809,1.185526806,20.73588281,23.25850662
1998,3.518298951,1.185526806,18.22309142,21.74139037
1998.084932,3.353586516,1.185526806,17.27122596,20.62481248
1998.161644,2.086496332,1.185526806,18.13563298,20.22212931
1998.246575,-0.146499948,1.185526806,20.58544583,20.43894588
1998.328767,-1.188295415,1.185526806,23.96447851,22.77618309
1998.413699,-1.084402702,1.185526806,27.36787991,26.28347721
1998.49589,-0.310693996,1.185526806,29.88406193,29.57336793
1998.580822,-0.089864976,-0.910081276,30.83937359,30.74950861
1998.665753,0.581608746,-0.910081276,29.97824602,30.55985477
1998.747945,-0.203083766,-0.910081276,27.5318238,27.32874003
1998.832877,-0.675899369,-0.910081276,24.15618174,23.48028237
1998.915068,-2.253165913,-0.910081276,20.75617095,18.50300504
1999,-1.07852608,-0.910081276,18.24337956,17.16485348
1999.084932,-0.683864865,-0.910081276,17.29151411,16.60764924
1999.161644,-0.6448031,-0.910081276,18.15592112,17.51111802
1999.246575,-2.16938757,-0.910081276,20.60573397,18.4363464
1999.328767,-2.160008157,-0.910081276,23.98476665,21.82475849
1999.413699,-1.389960314,-0.910081276,27.38816805,25.99820774
1999.49589,-0.154019948,-0.910081276,29.90435007,29.75033012
1999.580822,-0.178622068,-0.144078105,30.85966173,30.68103966
1999.665753,0.486143264,-0.144078105,29.99853417,30.48467743
1999.747945,0.099083712,-0.144078105,27.55211194,27.65119565
1999.832877,-0.665586081,-0.144078105,24.17646988,23.5108838
1999.915068,-2.209223765,-0.144078105,20.7764591,18.56723533
2000,-1.325619532,-0.144078105,18.2636677,16.93804817
2000.084699,0.717864581,-0.144078105,17.31179754,18.02966212
2000.163934,0.077976016,-0.144078105,18.17625573,18.25423175
2000.248634,0.046030265,-0.144078105,20.62606388,20.67209414
2000.330601,0.899607133,-0.144078105,24.005092,24.90469913
2000.415301,0.326947754,-0.144078105,27.4084887,27.73543645
2000.497268,-0.003538534,-0.144078105,29.92466615,29.92112762
2000.581967,0.006629294,-0.238409399,30.87997311,30.8866024
2000.666667,0.560995954,-0.238409399,30.01884084,30.57983679
2000.748634,0.926642288,-0.238409399,27.57241405,28.49905634
2000.833333,-1.708202457,-0.238409399,24.19676729,22.48856483
2000.915301,-1.620339515,-0.238409399,20.79675194,19.17641243
2001,-0.173222154,-0.238409399,18.28395584,18.11073369
2001.084932,-0.754365629,-0.238409399,17.33209039,16.57772476
2001.161644,-0.291864964,-0.238409399,18.1964974,17.90463244
2001.246575,-0.717216503,-0.238409399,20.64631025,19.92909375
2001.328767,0.648410159,-0.238409399,24.02534293,24.67375309
2001.413699,0.531683712,-0.238409399,27.42874434,27.96042805
2001.49589,-0.270062972,-0.238409399,29.94492635,29.67486338
2001.580822,-0.251931372,-0.073380429,30.90023801,30.64830664
2001.665753,0.9301582,-0.073380429,30.03911045,30.96926865
2001.747945,0.828927318,-0.073380429,27.59268822,28.42161554
