Year, Data, BEM, BLM, MLM
1996.0, 107967.0, 107702.81823294534, 88733.63213824097, 88733.63213824097
1997.0, 120877.0, 118393.40406476716, 119113.31239521506, 119113.31239521506
1998.0, 26611.0, 26521.302057721725, 5538.557868931992, 5538.557868931992
1999.0, 57985.0, 57802.687828036134, 33183.304566621984, 33183.304566621984
2000.0, 56153.0, 55789.61017557928, 19959.383154738523, 19959.383154738523
2001.0, 73741.0, 73486.72087875166, 48691.61492814488, 48691.61492814488
2002.0, 115896.0, 108982.219720446, 105987.94393671962, 105987.94393671962
2003.0, 97332.0, 97674.95881876656, 75179.14813918567, 75179.14813918567
2004.0, 87228.0, 87604.96474061832, 83018.15367485686, 83018.15367485686
2005.0, 53437.0, 54095.24571308805, 45037.779146384215, 45037.779146384215
2006.0, 65611.0, 66137.13181689185, 59273.50016191193, 59273.50016191193
2007.0, 57476.0, 58066.89893296195, 56228.58634667931, 56228.58634667931
2008.0, 84437.0, 84841.18441461756, 85787.88826078046, 85787.88826078046
2009.0, 57894.0, 58516.469873833346, 14616.19600370655, 14616.19600370655
2010.0, 42893.0, 43709.17282996395, 24895.99758008494, 24895.99758008494
2011.0, 34844.0, 35769.23983549378, 10467.42420313634, 10467.42420313634
2012.0, 23157.0, 24614.032692908426, 9174.811993575526, 9174.811993575526
2013.0, 9014.0, 11940.565177250972, 6487.535873557486, 6487.535873557486
2014.0, 36729.0, 37389.69929925429, 20872.524788038347, 20872.524788038347
2015.0, 1137.907, 6402.064510993299, 256.22358800996506, 256.22358800996506
2016.0, 1587.111, 5495.45060270969, 0.0, 0.0
